2025-10-24T11:15:30.138964093Z [inf]  2025-10-24 11:15:30,075 - binance_client - ERROR - Error fetching async klines for ORDERUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.138972616Z [inf]  2025-10-24 11:15:30,075 - binance_client - ERROR - Error fetching async klines for LIGHTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.138981083Z [inf]  2025-10-24 11:15:30,075 - binance_client - ERROR - Error fetching async klines for XANUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.139072735Z [inf]  2025-10-24 11:15:30,062 - binance_client - ERROR - Error fetching async klines for STBLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.139082041Z [inf]  2025-10-24 11:15:30,063 - binance_client - ERROR - Error fetching async klines for HANAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.139090885Z [inf]  2025-10-24 11:15:30,063 - binance_client - ERROR - Error fetching async klines for FLUIDUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.405715321Z [inf]  2025-10-24 11:15:30,402 - binance_client - ERROR - Error fetching async klines for METUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.405721732Z [inf]  2025-10-24 11:15:30,403 - binance_client - ERROR - Error fetching async klines for VFYUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.410795951Z [inf]  2025-10-24 11:15:30,405 - binance_client - ERROR - Error fetching async klines for EVAAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.410813427Z [inf]  2025-10-24 11:15:30,406 - binance_client - ERROR - Error fetching async klines for 4USDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.414969796Z [inf]  2025-10-24 11:15:30,410 - binance_client - ERROR - Error fetching async klines for LYNUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.414978571Z [inf]  2025-10-24 11:15:30,411 - binance_client - ERROR - Error fetching async klines for KGENUSDT: APIError(code=-1121): Invalid symbol.
